,Country,Page Code,League Name,League Division,Link
0,Albania,3,Kategoria Superiore,1.0,https://www.transfermarkt.com/kategoria-superiore/startseite/wettbewerb/ALB1
1,Albania,3,Superkupa e Shqipërisë,2.0,https://www.transfermarkt.com/superkupa-e-shqiperise/startseite/wettbewerb/ALBS
2,Algeria,4,Ligue Professionnelle 1,1.0,https://www.transfermarkt.com/ligue-professionnelle-1/startseite/wettbewerb/ALG1
3,Andorra,5,Primera Divisió,1.0,https://www.transfermarkt.com/primera-divisio/startseite/wettbewerb/AND1
4,Argentina,9,Copa Argentina,1.0,https://www.transfermarkt.com/copa-argentina/startseite/wettbewerb/ARCA
5,Argentina,9,Copa Superliga,2.0,https://www.transfermarkt.com/copa-superliga/startseite/wettbewerb/ARLC
6,Argentina,9,Copa Liga Profesional,3.0,https://www.transfermarkt.com/copa-liga-profesional/startseite/wettbewerb/CDLP
7,Armenia,10,Bardzragujn khumb,1.0,https://www.transfermarkt.com/bardzragujn-khumb/startseite/wettbewerb/ARM1
8,Armenia,10,First League,2.0,https://www.transfermarkt.com/armenian-first-league/startseite/wettbewerb/ARM2
9,Armenia,10,Armenian Independence Cup,3.0,https://www.transfermarkt.com/armenian-independence-cup/startseite/wettbewerb/ARPO
10,Australia,12,A-League,1.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
11,Austria,127,Bundesliga,1.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1
12,Austria,127,2. Liga,2.0,https://www.transfermarkt.com/2-liga/startseite/wettbewerb/A2
13,Austria,127,Regional League Central,3.0,https://www.transfermarkt.com/regional-league-central/startseite/wettbewerb/ATRM
14,Azerbaijan,13,Premyer Liqasi,1.0,https://www.transfermarkt.com/premyer-liqasi/startseite/wettbewerb/AZ1
15,Bangladesh,16,Bangladesh PL,1.0,https://www.transfermarkt.com/bangladesh-premier-league/startseite/wettbewerb/BGD1
16,Belarus,18,Vysheyshaya Liga,1.0,https://www.transfermarkt.com/vysheyshaya-liga/startseite/wettbewerb/WER1
17,Belarus,18,Pershaja Liga,2.0,https://www.transfermarkt.com/pershaja-liga/startseite/wettbewerb/WER2
18,Belarus,18,Belarusian Cup,3.0,https://www.transfermarkt.com/belarusian-cup/startseite/wettbewerb/WRPO
19,Belgium,19,Jupiler Pro League,1.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
20,Belgium,19,Proximus League,2.0,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2
21,Belgium,19,1ste Nationale,3.0,https://www.transfermarkt.com/1ste-nationale/startseite/wettbewerb/BEL3
22,Bolivia,23,Div. Prof. Apertura,1.0,https://www.transfermarkt.com/division-profesional-apertura/startseite/wettbewerb/BO1A
23,Bolivia,23,Div. Prof. Clausura,2.0,https://www.transfermarkt.com/division-profesional-clausura/startseite/wettbewerb/BO1C
24,Bosnia-Herzegovina,24,Premijer Liga,1.0,https://www.transfermarkt.com/premijer-liga/startseite/wettbewerb/BOS1
25,Bosnia-Herzegovina,24,Prva liga FBIH,2.0,https://www.transfermarkt.com/prva-liga-fbih/startseite/wettbewerb/BOS2
26,Bosnia-Herzegovina,24,Prva Liga RS,3.0,https://www.transfermarkt.com/prva-liga-rs/startseite/wettbewerb/BH2S
27,Brazil,26,Série A,1.0,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1
28,Brazil,26,Série B,2.0,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2
29,Brazil,26,Série C,3.0,https://www.transfermarkt.com/campeonato-brasileiro-serie-c/startseite/wettbewerb/BRA3
30,Bulgaria,28,efbet Liga,1.0,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1
31,Bulgaria,28,Vtora Liga,2.0,https://www.transfermarkt.com/vtora-liga/startseite/wettbewerb/BU2
32,Cameroon,31,Can. Premier League,1.0,https://www.transfermarkt.com/canadian-premier-league/startseite/wettbewerb/CDN1
33,Cameroon,31,Premier League Playoffs,2.0,https://www.transfermarkt.com/canadian-premier-league-playoffs/startseite/wettbewerb/CAPL
34,Chad,171,Primera División,1.0,https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD
35,Chad,171,Liguilla de Promoción Especial,2.0,https://www.transfermarkt.com/liguilla-de-promocion-especial/startseite/wettbewerb/CHDE
36,Chile,33,Super League,1.0,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL
37,Chile,33,League One,2.0,https://www.transfermarkt.com/china-league-one/startseite/wettbewerb/CLO
38,Chile,33,CL1 Relegation Stage,3.0,https://www.transfermarkt.com/china-league-one-relegation-stage/startseite/wettbewerb/CNRS
39,China,34,Football Premier League,1.0,https://www.transfermarkt.com/taiwan-football-premier-league/startseite/wettbewerb/TFPL
40,China,34,Football League Div.2,2.0,https://www.transfermarkt.com/taiwan-football-league-div-2/startseite/wettbewerb/TFL2
41,Christmas Island,248,Liga DIMAYOR I,1.0,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP
42,Christmas Island,248,Torneo DIMAYOR,2.0,https://www.transfermarkt.com/torneo-dimayor/startseite/wettbewerb/CO2T
43,Cookinseln,238,Primera Div. Apertura,1.0,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/CRPD
44,Cookinseln,238,Primera Div. Clausura,2.0,https://www.transfermarkt.com/primera-division-clausura/startseite/wettbewerb/PDV1
45,Cookinseln,238,Supercopa de Costa Rica,3.0,https://www.transfermarkt.com/supercopa-de-costa-rica/startseite/wettbewerb/SCCR
46,Cote d'Ivoire,38,1.HNL,1.0,https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1
47,Cote d'Ivoire,38,2.HNL,2.0,https://www.transfermarkt.com/2-hnl/startseite/wettbewerb/KR2
48,Cote d'Ivoire,38,Hrvatski nogometni kup,3.0,https://www.transfermarkt.com/hrvatski-nogometni-kup/startseite/wettbewerb/KRC
49,Cyprus,188,Protathlima Cyta,1.0,https://www.transfermarkt.com/protathlima-cyta/startseite/wettbewerb/ZYP1
50,Czech Republic,172,Fortuna Liga,1.0,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1
51,Czech Republic,172,FNL,2.0,https://www.transfermarkt.com/fortuna-narodni-liga/startseite/wettbewerb/TS2
52,Czech Republic,172,CFL,3.0,https://www.transfermarkt.com/ceska-fotbalova-liga/startseite/wettbewerb/CZ3C
53,DDR,222,DDR-Oberliga,1.0,https://www.transfermarkt.com/ddr-oberliga/startseite/wettbewerb/DDR
54,DDR,222,1.DDR-Liga Staffel Nord,2.0,https://www.transfermarkt.com/1-ddr-liga-staffel-nord/startseite/wettbewerb/DD1N
55,DDR,222,1.DDR-Liga Staffel Süd,3.0,https://www.transfermarkt.com/1-ddr-liga-staffel-sud/startseite/wettbewerb/DD1S
56,DR Congo,193,Superligaen,1.0,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1
57,DR Congo,193,NordicBet LIGA,2.0,https://www.transfermarkt.com/nordicbet-liga/startseite/wettbewerb/DK2
58,DR Congo,193,2.Division,3.0,https://www.transfermarkt.com/2-division/startseite/wettbewerb/DK3O
59,Ecuador,44,LigaPro Serie A Primera Etapa,1.0,https://www.transfermarkt.com/ligapro-serie-a-primera-etapa/startseite/wettbewerb/EL1A
60,Ecuador,44,LigaPro Serie A Segunda Etapa,2.0,https://www.transfermarkt.com/ligapro-serie-a-segunda-etapa/startseite/wettbewerb/EL1S
61,Ecuador,44,Supercopa Ecuador,3.0,https://www.transfermarkt.com/supercopa-ecuador/startseite/wettbewerb/ECSC
62,Egypt,2,Premier League,1.0,https://www.transfermarkt.com/egyptian-premier-league/startseite/wettbewerb/EGY1
63,England,189,Premier League,1.0,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1
64,England,189,Championship,2.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
65,England,189,League One,3.0,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3
66,Estonia,47,Premium Liiga,1.0,https://www.transfermarkt.com/premium-liiga/startseite/wettbewerb/EST1
